City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
239,tabuk,85,PH,1566490827,98,17.41,121.44,65.31,3.33
240,nakhon phanom,100,LA,1566490992,94,17.4,104.79,75.03,3.6
241,ilhabela,91,BR,1566490992,79,-23.78,-45.36,66.57,18.66
242,yumen,0,CN,1566490993,35,40.29,97.04,68.73,4.7
243,axim,90,GH,1566490993,81,4.87,-2.24,77.19,13.89
244,te anau,100,NZ,1566490993,92,-45.41,167.72,39.57,2.3
245,la ronge,40,CA,1566490858,71,55.1,-105.3,57.2,17.22
246,chinsali,17,ZM,1566490993,27,-10.55,32.07,76.65,6.85
247,lavrentiya,97,RU,1566490405,89,65.58,-170.99,43.35,5.66
248,hailar,96,CN,1566490796,93,49.2,119.7,56.49,6.04
249,marawi,100,PH,1566490405,79,8.0,124.29,75.99,4.0
250,pangkalanbuun,100,ID,1566490993,89,-2.68,111.62,72.87,3.13
251,saint-pierre,0,FR,1566490994,31,48.95,4.24,82.4,9.17
252,byron bay,74,AU,1566490994,72,-28.65,153.62,60.8,12.75
253,pisco,75,PE,1566490835,30,-13.71,-76.2,71.6,5.82
254,necochea,4,AR,1566490994,61,-38.55,-58.74,57.99,11.99
255,saint george,0,GR,1566490994,29,39.45,22.34,91.99,12.75
256,bubaque,100,GW,1566490994,84,11.28,-15.83,78.63,24.9
257,sogne,75,NO,1566490995,100,58.08,7.82,62.01,8.05
258,buala,100,SB,1566490864,84,-8.15,159.59,79.53,8.41
259,hami,0,CN,1566490995,23,42.84,93.51,79.71,10.67
260,north platte,90,US,1566490995,88,41.12,-100.77,66.2,4.7
261,kamenka,98,MD,1566490995,65,48.03,28.7,73.99,5.01
262,zeya,2,RU,1566490996,94,53.74,127.27,50.73,1.54
263,touros,40,BR,1566490996,58,-5.2,-35.46,84.2,14.99
264,katsuura,75,JP,1566490422,78,33.93,134.5,82.4,9.17
265,balad,75,ID,1566490996,96,-6.76,108.42,63.51,5.08
266,chavakkad,75,IN,1566490996,88,10.53,76.05,80.01,15.17
267,haimen,34,CN,1566490996,83,31.87,121.18,87.01,5.01
268,kampene,86,CD,1566490996,40,-3.59,26.67,86.91,1.7
269,comodoro rivadavia,0,AR,1566490997,44,-45.87,-67.48,60.8,12.75
270,dunedin,53,NZ,1566490997,79,-45.87,170.5,43.0,1.99
271,ratnagiri,30,IN,1566490997,82,16.98,73.3,81.33,12.21
272,victoria,75,BN,1566490818,83,5.28,115.24,82.4,4.7
273,biloela,0,AU,1566490997,64,-24.4,150.51,52.53,12.17
274,goya,99,AR,1566490998,65,-29.14,-59.27,56.49,7.38
275,pa sang,75,TH,1566490998,100,18.53,98.94,79.0,3.62
276,altay,98,CN,1566490874,49,47.83,88.13,57.21,5.53
277,strezhevoy,0,RU,1566490998,77,60.73,77.6,60.8,2.24
278,lianzhou,100,CN,1566490998,71,24.79,112.38,74.85,3.83
279,gambela,92,ET,1566490999,94,8.25,34.59,73.41,1.3
280,el jicaro,99,GT,1566490999,82,14.91,-89.89,72.51,2.06
281,batemans bay,0,AU,1566490871,66,-35.71,150.18,43.0,4.0
282,reykjavik,75,IS,1566490864,66,64.15,-21.94,63.0,5.82
283,carlsbad,0,CZ,1566490968,46,50.23,12.87,78.01,6.93
284,kempele,0,FI,1566490999,63,64.91,25.51,60.8,8.05
285,klaksvik,40,FO,1566491000,76,62.23,-6.59,55.4,10.29
286,porto-vecchio,75,FR,1566491000,74,41.59,9.28,86.0,4.7
287,la romana,40,DO,1566490817,62,18.43,-68.97,89.6,11.41
288,alta floresta,0,BR,1566491000,15,-9.87,-56.08,100.23,3.33
289,deputatskiy,62,RU,1566491000,84,69.3,139.9,49.47,1.01
290,fiche,9,ET,1566491001,76,9.77,38.74,69.27,3.06
291,fuente de oro,100,CO,1566491001,59,3.46,-73.62,76.65,4.27
292,airai,26,TL,1566491001,84,-8.93,125.41,68.01,5.41
293,codrington,40,AU,1566491001,87,-28.95,153.24,60.8,5.17
294,bonavista,100,CA,1566491001,83,48.65,-53.11,60.01,7.0
295,kashary,0,RU,1566491002,36,49.04,41.01,86.19,8.48
296,maceio,40,BR,1566491002,61,-9.67,-35.74,80.6,9.17
297,inongo,13,CD,1566491002,37,-1.93,18.29,91.05,5.32
298,bell ville,0,AR,1566491003,46,-32.63,-62.69,66.0,4.0
299,san cristobal,45,HN,1566491004,68,14.68,-86.92,76.47,8.16
300,cedar city,1,US,1566490953,11,37.68,-113.06,82.99,12.75
301,mahon,75,IE,1566491004,93,51.89,-8.4,70.0,10.29
302,okhotsk,100,RU,1566491004,96,59.36,143.24,52.17,4.9
303,chapais,90,CA,1566490860,87,49.78,-74.86,57.2,10.29
304,bull savanna,75,JM,1566491004,74,17.89,-77.59,82.41,0.58
305,tehachapi,1,US,1566490865,46,35.13,-118.45,82.4,11.41
306,homer,75,US,1566491004,87,59.64,-151.54,51.01,4.7
307,caranavi,26,BO,1566491005,58,-15.83,-67.57,64.41,5.14
308,baoding,39,CN,1566491005,49,38.86,115.49,68.55,5.19
309,bekovo,8,RU,1566491005,61,52.46,43.7,76.83,1.99
310,hambantota,75,LK,1566491005,100,6.12,81.12,75.2,12.75
311,nioro,86,GM,1566491005,80,13.79,-15.05,82.41,14.56
312,garowe,1,SO,1566491005,34,8.41,48.48,88.53,19.84
313,pangnirtung,90,CA,1566491006,87,66.15,-65.72,44.6,10.29
314,nhulunbuy,40,AU,1566491006,88,-12.18,136.78,69.8,3.36
315,namwala,82,ZM,1566491006,33,-15.75,26.45,72.51,6.2
316,denpasar,20,ID,1566491006,83,-8.65,115.22,77.0,14.99
317,mehamn,75,NO,1566491007,87,71.03,27.85,51.8,27.51
318,tamara,0,CO,1566491007,61,5.83,-72.16,59.01,6.82
319,salalah,40,OM,1566490772,94,17.01,54.1,78.8,6.93
320,kalaleh,0,IR,1566491007,55,37.38,55.49,91.4,5.23
321,fortuna,75,US,1566491008,100,40.6,-124.16,62.01,5.82
322,raymondville,90,US,1566491008,88,37.34,-91.83,73.99,3.36
323,caxito,75,BR,1566491008,77,-22.65,-42.51,68.0,16.11
324,kilindoni,25,TZ,1566491008,76,-7.91,39.67,77.55,22.24
325,genhe,21,CN,1566491009,98,50.78,121.52,49.65,5.08
326,lodja,77,CD,1566491009,36,-3.52,23.6,89.79,2.51
327,piacabucu,43,BR,1566491009,78,-10.41,-36.43,77.19,12.3
328,quatre cocos,20,MU,1566491009,83,-20.21,57.76,70.0,4.61
329,egvekinot,3,RU,1566491009,89,66.32,-179.17,40.65,9.17
330,svetlogorsk,0,RU,1566491010,45,53.14,59.15,68.0,4.47
331,manono,14,CD,1566491010,15,-7.3,27.4,93.93,6.69
332,taltal,0,CL,1566491010,59,-25.41,-70.49,61.71,4.43
333,narsaq,40,GL,1566491010,57,60.91,-46.05,51.8,8.05
334,ankang,24,CN,1566491011,95,32.73,108.99,70.35,3.09
335,sungaipenuh,93,ID,1566491011,98,-2.08,101.38,72.51,1.95
336,chiang khong,75,LA,1566491011,100,20.27,100.41,77.0,3.36
337,panzhihua,42,CN,1566490821,86,26.59,101.72,66.21,1.32
338,angul,100,IN,1566491011,88,20.84,85.1,80.07,2.73
339,vagay,26,RU,1566491012,67,57.94,69.02,63.87,5.39
340,new waterford,90,US,1566491012,69,40.85,-80.61,82.99,4.7
341,rodos,0,GR,1566491012,49,36.44,28.22,89.6,12.75
342,doka,100,SD,1566491012,70,13.52,35.76,84.39,5.53
343,harindanga,90,IN,1566491012,94,22.04,88.32,77.0,10.04
344,cayenne,7,GF,1566491013,55,4.94,-52.33,89.6,9.17
345,jacksonville,1,US,1566491013,58,30.33,-81.66,91.0,2.71
346,iqaluit,90,CA,1566491013,86,63.75,-68.52,44.01,12.37
347,cape canaveral,1,US,1566490427,79,28.41,-80.6,91.0,6.93
348,mokolo,40,CM,1566491013,59,10.74,13.8,89.6,5.82
349,bermeo,0,ES,1566491014,31,43.42,-2.72,80.01,9.17
350,manturovo,89,RU,1566491014,90,58.33,44.76,65.67,12.88
351,srednekolymsk,83,RU,1566491014,77,67.46,153.71,47.49,11.21
352,naryan-mar,30,RU,1566491014,83,67.67,53.09,60.27,5.23
353,soubre,86,CI,1566491014,61,5.79,-6.61,84.03,5.32
354,yulara,0,AU,1566491015,39,-25.24,130.99,46.4,4.7
355,batagay-alyta,62,RU,1566491015,91,67.8,130.41,43.89,2.35
356,adelaide,20,AU,1566490816,81,-34.93,138.6,48.99,6.93
357,puerto leguizamo,86,CO,1566490807,66,-0.19,-74.78,81.33,3.89
358,gotsu,100,JP,1566491015,86,35.01,132.22,79.71,17.11
